"","Q1 低","Q2","Q3","Q4 高"
"開明權威",2.02,2.666,1.469,-6.156
"專制權威",2.538,2.752,-0.228,-5.063
"寬鬆放任",-6.072,-4.693,2.432,8.334
"忽視冷漠",0.791,-1.056,-3.037,3.302
