"分層變項","層級","n","截距","截距p","beta_D","D_p","beta_R","R_p","beta_DR","DR_p","adjR2"
"城鄉","鄉村",434,0.443199147730198,1.5048378096567e-13,-0.158634281895148,0.000246749006853527,0.197960177461745,3.52685482174442e-05,-0.0302115224814894,0.294383029285294,0.0420186512880435
"城鄉","城鎮",2618,0.857957469693412,3.64386529020662e-237,-0.118223514724763,2.94396646329302e-11,0.084702640971768,2.27791296662786e-05,-0.0401336247086511,0.0023478528744086,0.0215027550976323
"城鄉","都市",4145,1.16620432613328,0,-0.0955082482002239,6.44805152092587e-12,0.0845827603152094,1.39834923582789e-08,-0.0630112666690676,1.29503035466436e-10,0.0255407668768404
"公私立","公立",6331,0.928366646246169,0,-0.101201512400526,9.36867665895987e-19,0.0932782734167972,1.03674967856968e-13,-0.0524616011702694,1.23405973446589e-10,0.0226347774938763
"公私立","私立",866,1.59620326863934,9.67971351477651e-246,-0.194731710929333,2.40163714324309e-13,0.0475438545272782,0.0912222137590777,-0.0215470946941372,0.266240354143362,0.0619551362219635
"偏遠","非偏遠",6878,1.03832181250057,0,-0.112650675548539,9.71359685451111e-25,0.0948334367280907,2.60622553980405e-15,-0.0544765677465456,4.74435251551389e-12,0.0261910766014024
"偏遠","偏遠",319,0.377683843516126,1.14829336121035e-08,-0.118563449051088,0.014694120370634,0.113199271483429,0.0292085054750179,-0.00498636089712153,0.873490113658848,0.014246257596878
"性別","男",3333,1.02390461187266,0,-0.101537592718311,3.66485694737854e-10,0.0992060787177054,1.9688117315141e-08,-0.0624836161764617,1.66011862434474e-08,0.0239220057094791
"性別","女",3864,0.997467332537099,0,-0.126433542825492,2.32715403524673e-18,0.0981730181366633,5.23803673230182e-10,-0.044894124047919,3.01995059650712e-05,0.0289010282655066
