"Type","n","mean","sd"
"開明權威",1787,0.883244815172167,1.09988967101683
"專制權威",1550,0.855496656468529,1.09351506432226
"寬鬆放任",1245,1.27982660803531,1.16491764061513
"忽視冷漠",2615,0.978435778135638,1.20559555576987
