"模型","項","估計","標準誤","t","p"
"D+R 加法模型","(Intercept)",0.980460190227526,0.0135154412337774,72.5437056229573,0
"D+R 加法模型","D_c",-0.120857841509677,0.0107139361579416,-11.2804332346234,2.8840334568581e-29
"D+R 加法模型","R_c",0.0961218567354332,0.0117620766192344,8.17218420242616,3.54918968549857e-16
"D*R 交互模型","(Intercept)",1.01036798742142,0.01412708047008,71.5199428191334,0
"D*R 交互模型","D_c",-0.113828780081713,0.0107248969301438,-10.6135080666166,4.02104585478176e-26
"D*R 交互模型","R_c",0.0981954641379767,0.0117264682481629,8.37383106830652,6.64155452639183e-17
"D*R 交互模型","D_c:R_c",-0.0539616278967597,0.00768173355081223,-7.02466800492631,2.34228804761872e-12
