"指標","變項","n","beta_D","D_p","beta_R","R_p","beta_DR","DR_p","adjR2"
"綜合分析能力（主）","w2all3p",7197,-0.113828780081713,4.02104585478176e-26,0.0981954641379767,6.64155452639183e-17,-0.0539616278967597,2.34228804761872e-12,0.0265148526140813
"數學分析能力","w2m3p",7197,-0.103726156356752,5.22701951632632e-19,0.0877974912357011,5.08640992383118e-12,-0.0469224950236602,1.7505544756228e-08,0.0181981871182515
"一般分析能力","w2cf3p",7197,-0.129890317352728,1.72447071666985e-21,0.100082249619505,1.82079870479455e-11,-0.0546026556810201,2.15372812522183e-08,0.0193669432601409
