"step","var","dR2","cumR2"
1,"公私立",0.0387029320620934,0.0387029320620934
2,"城鄉",0.0291580200476383,0.0678609521097317
3,"要求 D",0.0100444696804594,0.0779054217901911
4,"回應 R",0.00648419267028315,0.0843896144604742
5,"偏遠",0.00267372114381705,0.0870633356042913
6,"性別",1.17809061131458e-07,0.0870634534133524
